2026-04-28 20:25:53 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.1.Final
2026-04-28 20:25:53 [main] INFO  c.gallery.catalog.CatalogApplication - Starting CatalogApplication using Java 25.0.2 with PID 20964 (C:\Users\sveta\IdeaProjects\art-gallery\target\classes started by sveta in C:\Users\sveta\IdeaProjects\art-gallery)
2026-04-28 20:25:53 [main] DEBUG c.gallery.catalog.CatalogApplication - Running with Spring Boot v3.1.5, Spring v6.0.13
2026-04-28 20:25:53 [main] INFO  c.gallery.catalog.CatalogApplication - No active profile set, falling back to 1 default profile: "default"
2026-04-28 20:25:54 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2026-04-28 20:25:54 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 47 ms. Found 5 JPA repository interfaces.
2026-04-28 20:25:54 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
2026-04-28 20:25:54 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2026-04-28 20:25:54 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2026-04-28 20:25:54 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.15]
2026-04-28 20:25:54 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2026-04-28 20:25:54 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1013 ms
2026-04-28 20:25:54 [main] DEBUG c.g.c.logging.RequestLoggingFilter - Filter 'requestLoggingFilter' configured for use
2026-04-28 20:25:54 [main] INFO  o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
2026-04-28 20:25:54 [main] INFO  org.hibernate.Version - HHH000412: Hibernate ORM core version 6.2.13.Final
2026-04-28 20:25:54 [main] INFO  org.hibernate.cfg.Environment - HHH000406: Using bytecode reflection optimizer
2026-04-28 20:25:54 [main] INFO  o.s.o.j.p.SpringPersistenceUnitInfo - No LoadTimeWeaver setup: ignoring JPA class transformer
2026-04-28 20:25:54 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2026-04-28 20:25:54 [main] INFO  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Added connection org.postgresql.jdbc.PgConnection@3a2bb026
2026-04-28 20:25:54 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
